Mapa,Cve_Ent,Nom_Ent,Nom_Abr,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ámbito,Latitud,Longitud,Lat_Decimal,Lon_Decimal,Altitud,Cve_Carta,Pob_Total,Pob_Masculina,Pob_Femenina,Total De Viviendas Habitadas,Niños UKA,Familias UKA
150740249,15,México,Mex.,74,San Felipe Del Progreso,249,Ejido San Agustín Mextepec,R,"19°38´36.000N""","099°54´51.000W""",19.643333,-99.914167,2550,E14A27,191,80,111,39,,
150740284,15,México,Mex.,74,San Felipe Del Progreso,284,Ejido Zaragoza,R,"19°37´06.909N""","099°59´34.682W""",19.618586,-99.992967,2646,E14A27,42,21,21,9,,
150740010,15,México,Mex.,74,San Felipe Del Progreso,10,El Carmen Ocotepec,R,"19°40´59.308N""","099°58´38.578W""",19.683141,-99.977383,2764,E14A27,1190,558,632,250,,
150740055,15,México,Mex.,74,San Felipe Del Progreso,55,El Obraje,R,"19°43´23.615N""","099°57´41.916W""",19.723226,-99.961643,2600,E14A27,1224,564,660,277,,
150740125,15,México,Mex.,74,San Felipe Del Progreso,125,El Tunal,R,"19°42´58.084N""","099°57´51.236W""",19.716134,-99.964232,2619,E14A27,2045,956,1089,450,,
150740029,15,México,Mex.,74,San Felipe Del Progreso,29,Emilio Portes Gil,U,"19°38´43.365N""","099°55´04.191W""",19.645379,-99.917831,2555,E14A27,3737,1761,1976,838,,
150740153,15,México,Mex.,74,San Felipe Del Progreso,153,Encinillas De San Antonio La Ciénega,R,"19°40´24.479N""","100°02´06.378W""",19.673466,-100.035105,2669,E14A26,485,239,246,89,,
150740031,15,México,Mex.,74,San Felipe Del Progreso,31,Estutempan,R,"19°38´45.131N""","099°58´51.300W""",19.64587,-99.980917,2633,E14A27,528,256,272,99,,
150740176,15,México,Mex.,74,San Felipe Del Progreso,176,Flor De María,R,"19°43´27.645N""","099°54´20.116W""",19.724346,-99.905588,2522,E14A27,43,20,23,13,,
150740035,15,México,Mex.,74,San Felipe Del Progreso,35,Fresno Nichi,R,"19°34´01.737N""","099°56´54.996W""",19.567149,-99.94861,2894,E14A27,2434,1172,1262,488,,
150740037,15,México,Mex.,74,San Felipe Del Progreso,37,Guadalupe Coté,R,"19°36´25.897N""","099°59´11.681W""",19.607194,-99.986578,2701,E14A27,1617,774,843,253,,
150740005,15,México,Mex.,74,San Felipe Del Progreso,5,La Cabecera Concepción,R,"19°42´23.290N""","099°56´42.677W""",19.706469,-99.945188,2558,E14A27,1678,816,862,370,,
150740018,15,México,Mex.,74,San Felipe Del Progreso,18,La Concepción Chico (El Centro),R,"19°41´57.459N""","099°59´00.813W""",19.699294,-99.983559,2764,E14A27,1181,566,615,251,,
150740283,15,México,Mex.,74,San Felipe Del Progreso,283,"La Manzana, Ejido El Rincón De Los Pirules",R,"19°44´22.106N""","100°03´20.112W""",19.739474,-100.055587,2761,E14A26,49,19,30,14,,
150740276,15,México,Mex.,74,San Felipe Del Progreso,276,La Presa San Antonio Mextepec,R,"19°39´44.055N""","099°57´47.931W""",19.662238,-99.963314,2601,E14A27,300,143,157,52,,
150740270,15,México,Mex.,74,San Felipe Del Progreso,270,Mesa De La Agüita,R,"19°37´24.708N""","099°59´34.816W""",19.62353,-99.993004,2629,E14A27,143,70,73,20,,
150740052,15,México,Mex.,74,San Felipe Del Progreso,52,Mesa De La Agüita,R,"19°38´17.545N""","100°02´32.043W""",19.638207,-100.042234,2632,E14A26,299,142,157,66,,
150740056,15,México,Mex.,74,San Felipe Del Progreso,56,Palmillas,R,"19°41´35.655N""","099°57´00.865W""",19.693238,-99.95024,2559,E14A27,1918,943,975,446,,
